**Pregunta:** El cantant Skippy ha de fer una carrera d'obstacles representada esquemàticament en la figura a la dreta. Els quadrats omplerts indiquen bases d'aigua, i els nombres en tots els altres quadrats indiquen quantos quadrats han de botar Skippy en el segment següent comptant el quadrat sobre el qual està. Quants quadrats han de botar en el primer però Skippy perquè apugui a una extenció i sense tocar l'aigua?

**Opcions:**
A) 5
B) 3
C) 2
D) 1
E) És impossible.

**Racionalització:**
1. Observa la figura i nota els quadrats omplerts (bases d'aigua) i els nombres en els quadrats buits (quantos quadrats han de botar Skippy en el següent segment).
2. Comença amb el primer quadrat buit després de l'últim quadrat omplert (base d'aigua).
3. Segueix el nombre en el primer quadrat buit i botar aquest nombre de quadrats en el següent segment.
4. Repite aquest procés per a cada segment següent.
5. A la primera base d'aigua, Skippy ha de botar 2 quadrats.
729. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
730. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
731. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
732. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
733. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
734. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
735. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
736. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
737. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
738. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
739. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
740. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
741. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
742. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
743. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
744. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
745. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
746. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
747. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
748. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
749. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
750. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
751. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
752. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
753. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
754. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
755. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
756. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
757. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
758. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
759. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
760. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
761. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
762. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
763. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
764. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
765. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
766. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
767. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
768. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
769. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
770. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
771. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
772. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
773. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
774. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
775. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
776. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
777. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
778. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
779. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
780. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
781. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
782. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
783. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
784. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
785. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
786. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
787. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
788. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
789. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
790. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
791. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
792. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
793. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
794. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
795. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
796. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
797. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
798. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
799. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
800. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
801. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
802. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
803. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
804. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
805. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
806. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
807. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
808. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
809. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
810. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
811. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
812. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
813. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
814. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
815. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
816. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
817. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
818. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
819. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
820. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
821. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
822. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
823. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
824. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
825. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
826. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
827. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
828. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
829. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
830. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
831. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
832. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
833. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
834. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
835. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
836. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
837. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
838. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
839. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
840. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
841. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
842. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
843. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
844. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
845. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
846. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
847. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
848. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
849. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
850. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
851. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
852. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
853. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
854. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
855. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
856. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
857. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
858. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
859. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
860. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
861. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
862. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
863. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
864. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
865. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
866. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
867. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
868. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
869. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
870. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
871. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
872. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
873. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
874. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
875. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
876. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
877. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
878. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
879. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
880. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
881. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
882. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
883. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
884. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
885. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
886. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
887. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
888. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
889. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
890. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
891. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
892. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
893. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
894. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
895. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
896. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
897. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
898. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
899. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
900. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
901. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
902. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
903. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
904. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
905. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
906. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
907. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
908. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
909. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
910. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
911. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
912. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
913. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
914. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
915. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
916. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
917. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
918. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
919. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
920. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
921. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
922. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
923. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
924. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
925. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
926. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
927. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
928. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
929. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
930. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
931. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
932. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
933. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
934. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
935. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
936. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
937. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
938. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
939. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
940. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
941. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
942. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
943. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
944. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
945. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
946. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
947. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
948. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
949. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
950. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
951. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
952. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
953. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
954. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
955. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
956. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
957. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
958. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
959. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
960. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
961. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
962. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
963. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
964. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
965. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
966. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
967. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
968. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
969. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
970. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
971. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
972. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
973. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
974. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
975. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
976. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
977. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
978. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
979. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
980. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
981. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
982. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
983. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
984. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
985. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
986. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
987. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
988. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
989. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
990. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
991. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
992. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
993. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
994. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
995. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
996. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
997. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
998. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
999. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
1000. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.

**Resposta:** D) 1
